model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_model,processor_generation,memory_type,storage_capacity,hard_drive_type,optical_drive,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,cellular_modem,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date,graphics_card,processor_type,series,wireless_network
מחשב נייד Asus Zenbook 14 OLED UX3402VA-KM063W אסוס,Asus,לא רלוונטי,Windows 11 Home,"1.39 ק""ג",16 GB,3.7Ghz,1360P,דור 13,DDR5,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,90 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5689,6239,5964.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1184775,מ 2023,Intel Iris Xe Graphics,Intel Core i7,ZenBook 14,"WiFi 6E, 802.11ax"
מחשב נייד Asus TUF Gaming F15 FX507ZC4-HN073W אסוס,Asus,גיימינג,Windows 11 Home,"2.2 ק""ג",16 GB,3.3Ghz,12500H,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,לא זמין,ללא,לא זמין,לא כולל,לא כולל,3794,4699,4246.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1188762,מ 2023,NVIDIA GeForce RTX 3050,Intel Core i5,TUF Gaming F15,"WiFi 6, 802.11ax"
מחשב נייד Asus VivoBook 17 X1704VA-AU054 אסוס,Asus,לא רלוונטי,ללא,"2.10 ק""ג",16 GB,3.7Ghz,1355U,דור 13,DDR4,1000 GB,SSD,לא כולל,17.3 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,3421,4080,3750.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192679,מ 2023,Intel Iris Xe Graphics,Intel Core i7,VivoBook 17,WiFi 6E
מחשב נייד Asus X1500EA-EJ2658 אסוס,Asus,לא רלוונטי,ללא,"1.8 ק""ג",16 GB,2.4Ghz,1135G7,דור 11,DDR4,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,1980,2565,2272.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1179969,מ 2023,Intel Iris Xe Graphics,Intel Core i5,לא רלוונטי,802.11ac
מחשב נייד Asus Zenbook 14 OLED UX3402VA-KP147W אסוס,Asus,לא רלוונטי,Windows 11 Home,"1.35 ק""ג",16 GB,3.4Ghz,1340P,דור 13,DDR5,512 GB,SSD,לא כולל,14 אינטש,2560x1600,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,4219,4990,4604.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1188142,מ 2023,Intel Iris Xe Graphics,Intel Core i5,Zenbook 14 OLED,"WiFi 6E, 802.11ax"
מחשב נייד Asus Vivobook S 14 Flip OLED TP3402VA-KN058W אסוס,Asus,לא רלוונטי,Windows 11 Home,"1.5 ק""ג",16 GB,3.7Ghz,13700H,דור 13,לא זמין,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,60 Hz,כולל,כולל,לא כולל,לא כולל,4627,5432,5029.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1193764,מ 2023,Intel Iris Xe Graphics,Intel Core i7,Vivobook S 14 Flip,"WiFi 6, 802.11ax"
מחשב נייד Asus VivoBook 14 X1404ZA-NK114 אסוס,Asus,לא רלוונטי,ללא,"1.4 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1699,2065,1882.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1186818,מ 2023,Intel UHD Graphics,Intel Core i3,VivoBook 14,"WiFi 6E, 802.11ax"
מחשב נייד Asus VivoBook 15 X1504VA-BQ149 אסוס,Asus,לא רלוונטי,ללא,"1.7 ק""ג",16 GB,3.7Ghz,1355U,דור 13,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא רלוונטי,לא כולל,2987,3490,3238.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1191538,מ 2023,Intel Iris Xe Graphics,Intel Core i7,VivoBook 15,"WiFi 6E, 802.11ax"
מחשב נייד Asus Zenbook 14X OLED UM5401QA-L7192W אסוס,Asus,לא רלוונטי,Windows 11 Home,"1.4 ק""ג",16 GB,4.2Ghz,5600H,דור 4,DDR4,512 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,3579,5137,4358.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1162877,2022,AMD Radeon  Graphics,AMD Ryzen 5,ZenBook 14X,"WiFi 6, 802.11ax"
מחשב נייד Asus Zenbook S13 OLED UX5304VA-NQ003 אסוס,Asus,לא רלוונטי,ללא,"1 ק""ג",16 GB,3.7Ghz,1355U,דור 13,DDR5,1000 GB,SSD,לא כולל,13.3 אינטש,2880X1800,OLED,60 Hz,ללא,כולל,מצלמת IR,לא כולל,5295,6388,5841.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192565,מ 2023,Intel Iris Xe Graphics,Intel Core i7,Zenbook S13,"WiFi 6E, 802.11ax"
מחשב נייד Asus Vivobook S 14 Flip OLED TP3402VA-KN057 אסוס,Asus,לא רלוונטי,ללא,"1.5 ק""ג",8 GB,3.7Ghz,13700H,דור 13,DDR4,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,90 Hz,כולל,כולל,לא כולל,לא כולל,4078,7281,5679.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1193875,מ 2023,Intel Iris Xe Graphics,Intel Core i7,Vivobook S14 Flip,"WiFi 6E, 802.11ax"
מחשב נייד Asus TUF Gaming F15 FX507ZC4-HN073 אסוס,Asus,גיימינג,ללא,"2.6 ק""ג",16 GB,3.3Ghz,12500H,דור 12,DDR5,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,144 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,3426,4025,3725.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1187677,מ 2023,NVIDIA GeForce RTX 3050,Intel Core i5,TUF Gaming F15,WiFi 6
מחשב נייד Asus ZenBook 14 UX3402ZA-KM164W אסוס,Asus,לא רלוונטי,Windows 11 Home,"1.39 ק""ג",8 GB,3.3Ghz,1240P,דור 12,DDR5,512 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,3678,4562,4120.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1155948,2022,Intel Iris Xe Graphics,Intel Core i5,ZenBook 14,"WiFi 6, 802.11ax"
מחשב נייד Asus TUF Gaming F15 FX516PC-HN558W אסוס,Asus,גיימינג,Windows 11 Home,"2.0 ק""ג",8 GB,3.1Ghz,11300H,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,144 Hz,ללא,לא זמין,לא כולל,לא כולל,3150,4244,3697.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1149028,2022,NVIDIA GeForce RTX 3050,Intel Core i5,TUF Gaming F15,"WiFi 6, 802.11ax"
מחשב נייד Asus Vivobook 15 X1504ZA-NJ203 אסוס,Asus,לא רלוונטי,ללא,"1.7 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1910,2387,2148.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192671,מ 2023,Intel Iris Xe Graphics,Intel Core i5,VivoBook 15,"WiFi 6E, 802.11ax"
מחשב נייד Asus Vivobook 15 X1504ZA-NJ204 אסוס,Asus,לא רלוונטי,ללא,"1.7 ק""ג",16 GB,3.5Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2174,2926,2550.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192672,מ 2023,Intel Iris Xe Graphics,Intel Core i7,VivoBook 15,"WiFi 6E, 802.11ax"
מחשב נייד Asus TUF Gaming F15 FX507ZV4-HQ043 אסוס,Asus,גיימינג,ללא,"2.2 ק""ג",32 GB,3.5Ghz,12700H,דור 12,DDR4,1000 GB,SSD,לא כולל,15.6 אינטש,2560x1440,LCD,לא זמין,ללא,1 מגה פיקסל,לא כולל,לא כולל,5399,6490,5944.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1188739,מ 2023,NVIDIA GeForce RTX 4060,Intel Core i7,TUF Gaming F15,"WiFi 6, 802.11ax"
מחשב נייד Asus TUF Gaming F15 FX507ZC4-HN105 אסוס,Asus,גיימינג,ללא,"2.2 ק""ג",16 GB,3.5Ghz,12700H,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,לא זמין,ללא,1 מגה פיקסל,לא כולל,לא כולל,3789,4490,4139.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1188735,מ 2023,NVIDIA GeForce RTX 3050 Ti,Intel Core i7,TUF Gaming F15,"WiFi 6, 802.11ax"
מחשב נייד Asus Vivobook 15 X1504ZA-NJ027 אסוס,Asus,לא רלוונטי,ללא,"1.7 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1699,2590,2144.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192666,מ 2023,Intel UHD Graphics,Intel Core i5,VivoBook 15,"WiFi 6E, 802.11ax"
מחשב נייד Asus TUF Dash F15 FX517ZC-HN111 אסוס,Asus,גיימינג,ללא,"2.0 ק""ג",16 GB,3.5Ghz,12650H,דור 12,DDR5,1000 GB,SSD,לא כולל,15.6 אינטש,לא זמין,LCD,לא זמין,ללא,1 מגה פיקסל,לא כולל,לא כולל,3650,5190,4420.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1176395,2022,Intel Iris Xe Graphics,Intel Core i7,TUF Dash F15,802.11ax
מחשב נייד Asus W202NA-GJ0062R אסוס,Asus,לא רלוונטי,Windows 10 PRO,"1.2 ק""ג",4 GB,1.1Ghz,N3350,דור 3,DDR3,64 GB,eMMC,לא כולל,11.6 אינטש,1366x768,LCD,60 Hz,ללא,כולל,לא זמין,לא כולל,809,1250,1029.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1110088,2021,לא זמין,Intel Celeron,לא רלוונטי,802.11ac
מחשב נייד Asus Vivobook 15 X1504ZA-NJ205 אסוס,Asus,לא רלוונטי,ללא,"1.7 ק""ג",16 GB,3.5Ghz,1255U,דור 12,DDR4,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2375,2825,2600.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192673,מ 2023,Intel Iris Xe Graphics,Intel Core i7,VivoBook 15,"WiFi 6E, 802.11ax"
מחשב נייד Asus VivoBook 15 X1504ZA-NJ031 אסוס,Asus,לא רלוונטי,ללא,"1.7 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1759,2138,1948.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192665,מ 2023,Intel UHD Graphics,Intel Core i5,VivoBook 15,"WiFi 6E, 802.11ax"
מחשב נייד Asus Vivobook 15 X1504ZA-NJ197W אסוס,Asus,לא רלוונטי,Windows 11 Home,"1.7 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2567,2979,2773.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192675,מ 2023,Intel Iris Xe Graphics,Intel Core i5,VivoBook 15,"WiFi 6E, 802.11ax"
מחשב נייד Asus Zenbook 14 OLED UX3402VA-KM063W אסוס,Asus,לא רלוונטי,Windows 11 Home,"1.39 ק""ג",16 GB,3.7Ghz,1360P,דור 13,DDR5,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,90 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5689,6239,5964.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1184775,מ 2023,Intel Iris Xe Graphics,Intel Core i7,ZenBook 14,"WiFi 6E, 802.11ax"
מחשב נייד Asus TUF Gaming F15 FX507ZC4-HN073W אסוס,Asus,גיימינג,Windows 11 Home,"2.2 ק""ג",16 GB,3.3Ghz,12500H,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,לא זמין,ללא,לא זמין,לא כולל,לא כולל,3794,4699,4246.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1188762,מ 2023,NVIDIA GeForce RTX 3050,Intel Core i5,TUF Gaming F15,"WiFi 6, 802.11ax"
מחשב נייד Asus VivoBook 17 X1704VA-AU054 אסוס,Asus,לא רלוונטי,ללא,"2.10 ק""ג",16 GB,3.7Ghz,1355U,דור 13,DDR4,1000 GB,SSD,לא כולל,17.3 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,3421,4080,3750.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192679,מ 2023,Intel Iris Xe Graphics,Intel Core i7,VivoBook 17,WiFi 6E
מחשב נייד Asus X1500EA-EJ2658 אסוס,Asus,לא רלוונטי,ללא,"1.8 ק""ג",16 GB,2.4Ghz,1135G7,דור 11,DDR4,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,1980,2565,2272.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1179969,מ 2023,Intel Iris Xe Graphics,Intel Core i5,לא רלוונטי,802.11ac
מחשב נייד Asus Zenbook 14 OLED UX3402VA-KP147W אסוס,Asus,לא רלוונטי,Windows 11 Home,"1.35 ק""ג",16 GB,3.4Ghz,1340P,דור 13,DDR5,512 GB,SSD,לא כולל,14 אינטש,2560x1600,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,4219,4990,4604.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1188142,מ 2023,Intel Iris Xe Graphics,Intel Core i5,Zenbook 14 OLED,"WiFi 6E, 802.11ax"
מחשב נייד Asus Vivobook S 14 Flip OLED TP3402VA-KN058W אסוס,Asus,לא רלוונטי,Windows 11 Home,"1.5 ק""ג",16 GB,3.7Ghz,13700H,דור 13,לא זמין,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,60 Hz,כולל,כולל,לא כולל,לא כולל,4627,5432,5029.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1193764,מ 2023,Intel Iris Xe Graphics,Intel Core i7,Vivobook S 14 Flip,"WiFi 6, 802.11ax"
מחשב נייד Asus VivoBook 14 X1404ZA-NK114 אסוס,Asus,לא רלוונטי,ללא,"1.4 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1699,2065,1882.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1186818,מ 2023,Intel UHD Graphics,Intel Core i3,VivoBook 14,"WiFi 6E, 802.11ax"
מחשב נייד Asus VivoBook 15 X1504VA-BQ149 אסוס,Asus,לא רלוונטי,ללא,"1.7 ק""ג",16 GB,3.7Ghz,1355U,דור 13,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא רלוונטי,לא כולל,2987,3490,3238.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1191538,מ 2023,Intel Iris Xe Graphics,Intel Core i7,VivoBook 15,"WiFi 6E, 802.11ax"
מחשב נייד Asus Zenbook 14X OLED UM5401QA-L7192W אסוס,Asus,לא רלוונטי,Windows 11 Home,"1.4 ק""ג",16 GB,4.2Ghz,5600H,דור 4,DDR4,512 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,3579,5137,4358.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1162877,2022,AMD Radeon  Graphics,AMD Ryzen 5,ZenBook 14X,"WiFi 6, 802.11ax"
מחשב נייד Asus Zenbook S13 OLED UX5304VA-NQ003 אסוס,Asus,לא רלוונטי,ללא,"1 ק""ג",16 GB,3.7Ghz,1355U,דור 13,DDR5,1000 GB,SSD,לא כולל,13.3 אינטש,2880X1800,OLED,60 Hz,ללא,כולל,מצלמת IR,לא כולל,5295,6388,5841.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192565,מ 2023,Intel Iris Xe Graphics,Intel Core i7,Zenbook S13,"WiFi 6E, 802.11ax"
מחשב נייד Asus Vivobook S 14 Flip OLED TP3402VA-KN057 אסוס,Asus,לא רלוונטי,ללא,"1.5 ק""ג",8 GB,3.7Ghz,13700H,דור 13,DDR4,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,90 Hz,כולל,כולל,לא כולל,לא כולל,4078,7281,5679.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1193875,מ 2023,Intel Iris Xe Graphics,Intel Core i7,Vivobook S14 Flip,"WiFi 6E, 802.11ax"
מחשב נייד Asus TUF Gaming F15 FX507ZC4-HN073 אסוס,Asus,גיימינג,ללא,"2.6 ק""ג",16 GB,3.3Ghz,12500H,דור 12,DDR5,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,144 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,3426,4025,3725.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1187677,מ 2023,NVIDIA GeForce RTX 3050,Intel Core i5,TUF Gaming F15,WiFi 6
מחשב נייד Asus ZenBook 14 UX3402ZA-KM164W אסוס,Asus,לא רלוונטי,Windows 11 Home,"1.39 ק""ג",8 GB,3.3Ghz,1240P,דור 12,DDR5,512 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,3678,4562,4120.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1155948,2022,Intel Iris Xe Graphics,Intel Core i5,ZenBook 14,"WiFi 6, 802.11ax"
מחשב נייד Asus TUF Gaming F15 FX516PC-HN558W אסוס,Asus,גיימינג,Windows 11 Home,"2.0 ק""ג",8 GB,3.1Ghz,11300H,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,144 Hz,ללא,לא זמין,לא כולל,לא כולל,3150,4244,3697.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1149028,2022,NVIDIA GeForce RTX 3050,Intel Core i5,TUF Gaming F15,"WiFi 6, 802.11ax"
מחשב נייד Asus Vivobook 15 X1504ZA-NJ203 אסוס,Asus,לא רלוונטי,ללא,"1.7 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1910,2387,2148.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192671,מ 2023,Intel Iris Xe Graphics,Intel Core i5,VivoBook 15,"WiFi 6E, 802.11ax"
מחשב נייד Asus Vivobook 15 X1504ZA-NJ204 אסוס,Asus,לא רלוונטי,ללא,"1.7 ק""ג",16 GB,3.5Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2174,2926,2550.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192672,מ 2023,Intel Iris Xe Graphics,Intel Core i7,VivoBook 15,"WiFi 6E, 802.11ax"
מחשב נייד Asus TUF Gaming F15 FX507ZV4-HQ043 אסוס,Asus,גיימינג,ללא,"2.2 ק""ג",32 GB,3.5Ghz,12700H,דור 12,DDR4,1000 GB,SSD,לא כולל,15.6 אינטש,2560x1440,LCD,לא זמין,ללא,1 מגה פיקסל,לא כולל,לא כולל,5399,6490,5944.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1188739,מ 2023,NVIDIA GeForce RTX 4060,Intel Core i7,TUF Gaming F15,"WiFi 6, 802.11ax"
מחשב נייד Asus TUF Gaming F15 FX507ZC4-HN105 אסוס,Asus,גיימינג,ללא,"2.2 ק""ג",16 GB,3.5Ghz,12700H,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,לא זמין,ללא,1 מגה פיקסל,לא כולל,לא כולל,3789,4490,4139.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1188735,מ 2023,NVIDIA GeForce RTX 3050 Ti,Intel Core i7,TUF Gaming F15,"WiFi 6, 802.11ax"
מחשב נייד Asus Vivobook 15 X1504ZA-NJ027 אסוס,Asus,לא רלוונטי,ללא,"1.7 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1699,2590,2144.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192666,מ 2023,Intel UHD Graphics,Intel Core i5,VivoBook 15,"WiFi 6E, 802.11ax"
מחשב נייד Asus TUF Dash F15 FX517ZC-HN111 אסוס,Asus,גיימינג,ללא,"2.0 ק""ג",16 GB,3.5Ghz,12650H,דור 12,DDR5,1000 GB,SSD,לא כולל,15.6 אינטש,לא זמין,LCD,לא זמין,ללא,1 מגה פיקסל,לא כולל,לא כולל,3650,5190,4420.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1176395,2022,Intel Iris Xe Graphics,Intel Core i7,TUF Dash F15,802.11ax
מחשב נייד Asus W202NA-GJ0062R אסוס,Asus,לא רלוונטי,Windows 10 PRO,"1.2 ק""ג",4 GB,1.1Ghz,N3350,דור 3,DDR3,64 GB,eMMC,לא כולל,11.6 אינטש,1366x768,LCD,60 Hz,ללא,כולל,לא זמין,לא כולל,809,1250,1029.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1110088,2021,לא זמין,Intel Celeron,לא רלוונטי,802.11ac
מחשב נייד Asus Vivobook 15 X1504ZA-NJ205 אסוס,Asus,לא רלוונטי,ללא,"1.7 ק""ג",16 GB,3.5Ghz,1255U,דור 12,DDR4,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2375,2825,2600.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192673,מ 2023,Intel Iris Xe Graphics,Intel Core i7,VivoBook 15,"WiFi 6E, 802.11ax"
מחשב נייד Asus VivoBook 15 X1504ZA-NJ031 אסוס,Asus,לא רלוונטי,ללא,"1.7 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1759,2138,1948.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192665,מ 2023,Intel UHD Graphics,Intel Core i5,VivoBook 15,"WiFi 6E, 802.11ax"
מחשב נייד Asus Vivobook 15 X1504ZA-NJ197W אסוס,Asus,לא רלוונטי,Windows 11 Home,"1.7 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2567,2979,2773.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192675,מ 2023,Intel Iris Xe Graphics,Intel Core i5,VivoBook 15,"WiFi 6E, 802.11ax"
מחשב נייד Asus Zenbook 14 OLED UX3402VA-KM063W אסוס,Asus,לא רלוונטי,Windows 11 Home,"1.39 ק""ג",16 GB,3.7Ghz,1360P,דור 13,DDR5,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,90 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5689,6239,5964.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1184775,מ 2023,Intel Iris Xe Graphics,Intel Core i7,ZenBook 14,"WiFi 6E, 802.11ax"
מחשב נייד Asus TUF Gaming F15 FX507ZC4-HN073W אסוס,Asus,גיימינג,Windows 11 Home,"2.2 ק""ג",16 GB,3.3Ghz,12500H,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,לא זמין,ללא,לא זמין,לא כולל,לא כולל,3794,4699,4246.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1188762,מ 2023,NVIDIA GeForce RTX 3050,Intel Core i5,TUF Gaming F15,"WiFi 6, 802.11ax"
מחשב נייד Asus VivoBook 17 X1704VA-AU054 אסוס,Asus,לא רלוונטי,ללא,"2.10 ק""ג",16 GB,3.7Ghz,1355U,דור 13,DDR4,1000 GB,SSD,לא כולל,17.3 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,3421,4080,3750.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192679,מ 2023,Intel Iris Xe Graphics,Intel Core i7,VivoBook 17,WiFi 6E
מחשב נייד Asus X1500EA-EJ2658 אסוס,Asus,לא רלוונטי,ללא,"1.8 ק""ג",16 GB,2.4Ghz,1135G7,דור 11,DDR4,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,1980,2565,2272.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1179969,מ 2023,Intel Iris Xe Graphics,Intel Core i5,לא רלוונטי,802.11ac
מחשב נייד Asus Zenbook 14 OLED UX3402VA-KP147W אסוס,Asus,לא רלוונטי,Windows 11 Home,"1.35 ק""ג",16 GB,3.4Ghz,1340P,דור 13,DDR5,512 GB,SSD,לא כולל,14 אינטש,2560x1600,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,4219,4990,4604.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1188142,מ 2023,Intel Iris Xe Graphics,Intel Core i5,Zenbook 14 OLED,"WiFi 6E, 802.11ax"
מחשב נייד Asus Vivobook S 14 Flip OLED TP3402VA-KN058W אסוס,Asus,לא רלוונטי,Windows 11 Home,"1.5 ק""ג",16 GB,3.7Ghz,13700H,דור 13,לא זמין,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,60 Hz,כולל,כולל,לא כולל,לא כולל,4627,5432,5029.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1193764,מ 2023,Intel Iris Xe Graphics,Intel Core i7,Vivobook S 14 Flip,"WiFi 6, 802.11ax"
